"provider_id","specialty","region"
"P00001","OB/GYN","West"
"P00002","OB/GYN","Midwest"
"P00003","Family Medicine","South"
"P00004","Pharmacy","South"
"P00005","Family Medicine","West"
"P00006","Pediatrics","Midwest"
"P00007","Pediatrics","South"
"P00008","Family Medicine","Midwest"
"P00009","Family Medicine","South"
"P00010","Pharmacy","Northeast"
"P00011","Family Medicine","Midwest"
"P00012","Family Medicine","Midwest"
"P00013","OB/GYN","South"
"P00014","OB/GYN","South"
"P00015","Family Medicine","Midwest"
"P00016","Family Medicine","Northeast"
"P00017","Pediatrics","Midwest"
"P00018","Internal Medicine","South"
"P00019","Pharmacy","West"
"P00020","Pediatrics","Midwest"
"P00021","OB/GYN","Midwest"
"P00022","Internal Medicine","South"
"P00023","Internal Medicine","Midwest"
"P00024","Family Medicine","Midwest"
"P00025","Family Medicine","Northeast"
"P00026","OB/GYN","Midwest"
"P00027","Pediatrics","West"
"P00028","Pharmacy","Northeast"
"P00029","Internal Medicine","Northeast"
"P00030","Internal Medicine","Northeast"
"P00031","Family Medicine","West"
"P00032","Pediatrics","Northeast"
"P00033","Family Medicine","Northeast"
"P00034","OB/GYN","Northeast"
"P00035","Internal Medicine","West"
"P00036","Internal Medicine","West"
"P00037","OB/GYN","Midwest"
"P00038","Pediatrics","South"
"P00039","Pediatrics","Northeast"
"P00040","Pharmacy","Midwest"
"P00041","Family Medicine","Northeast"
"P00042","Pediatrics","South"
"P00043","Family Medicine","West"
"P00044","Family Medicine","Northeast"
"P00045","Pediatrics","West"
"P00046","Family Medicine","Midwest"
"P00047","Family Medicine","Northeast"
"P00048","Pediatrics","Midwest"
"P00049","OB/GYN","Northeast"
"P00050","Family Medicine","Northeast"
